Date,variable,value
3/1/80,Motor vehicles (New),-4.841337575
3/1/80,Motor vehicles (Used),1.887690355
3/1/80,Motor vehicle (Parts),12.60638638
3/1/80,Furniture and furnishings,6.957325706
3/1/80,Household appliances,6.105263158
3/1/80,Household tableware,11.8150873
3/1/80,House and gardening tools,12.02448623
3/1/80,Audio-visual equipment,11.17951371
3/1/80,Sporting equipment and guns,5.948372615
3/1/80,Sports and recreational vehicles,-18.47594022
3/1/80,Recreational books,15.16162134
3/1/80,Musical instruments,8.508604207
3/1/80,Jewelry and watches,27.81518263
3/1/80,Therapeutic equipment,8.522991175
3/1/80,Educational books,15.30470914
3/1/80,Personal items (e.g. Luggage),-7.587788954
3/1/80,Food and beverages*,9.743740123
3/1/80,Alcoholic beverages*,15.51636092
3/1/80,Animal feeds/Farm supplies,-1.520912548
3/1/80,Clothing and footwear,7.558813428
3/1/80,"Motor vehicle (lubricants, oil, etc.)",52.1953556
3/1/80,Fuel oil,27.57843926
3/1/80,Medical products,13.88445579
3/1/80,Recreational items,13.30033698
3/1/80,Household supplies,13.05087492
3/1/80,Personal care products,10.37145115
3/1/80,Tobacco,6.562930031
3/1/80,"Magazines, newspapers, and stationery",14.51788342
3/1/80,Housing expenditure,13.07437302
3/1/80,Household utilities,12.60482518
3/1/80,Health care,14.6689256
3/1/80,Motor vehicle services,8.654753665
3/1/80,Public transportation,20.16020545
3/1/80,Membership clubs,9.809588575
3/1/80,Audio-visual services,10.26083208
3/1/80,Gambling,12.72759729
3/1/80,Other recreational services,14.87029594
3/1/80,Food services,10.5435181
3/1/80,Accommodations,11.72219085
3/1/80,Financial services,13.12284758
3/1/80,Insurance,17.22014388
3/1/80,Communication services,8.348669309
3/1/80,Education services,8.630593233
3/1/80,Professional and other services,15.51831458
3/1/80,Personal care services,5.678645679
3/1/80,Social services,16.75099867
3/1/80,Household maintenance,5.704907784
3/1/80,Nonprofit Institution,11.8067343
3/1/80,Overall Average,12.20460063
6/1/80,Motor vehicles (New),-21.12090357
6/1/80,Motor vehicles (Used),-10.01627339
6/1/80,Motor vehicle (Parts),9.214868315
6/1/80,Furniture and furnishings,0.69454208
6/1/80,Household appliances,1.029592254
6/1/80,Household tableware,9.771777563
6/1/80,House and gardening tools,6.785340314
6/1/80,Audio-visual equipment,4.720966791
6/1/80,Sporting equipment and guns,7.667692308
6/1/80,Sports and recreational vehicles,-29.08151093
6/1/80,Recreational books,9.13450012
6/1/80,Musical instruments,0.363967243
6/1/80,Jewelry and watches,12.60604139
6/1/80,Therapeutic equipment,9.269911504
6/1/80,Educational books,9.32038835
6/1/80,Personal items (e.g. Luggage),-8.096590909
6/1/80,Food and beverages*,8.963344332
6/1/80,Alcoholic beverages*,13.42032757
6/1/80,Animal feeds/Farm supplies,-8.400884304
6/1/80,Clothing and footwear,6.253366994
6/1/80,"Motor vehicle (lubricants, oil, etc.)",43.0685903
6/1/80,Fuel oil,9.753585877
6/1/80,Medical products,12.63546798
6/1/80,Recreational items,10.19314963
6/1/80,Household supplies,11.98412075
6/1/80,Personal care products,8.56906632
6/1/80,Tobacco,8.525418377
6/1/80,"Magazines, newspapers, and stationery",8.918935682
6/1/80,Housing expenditure,13.31751536
6/1/80,Household utilities,17.90036175
6/1/80,Health care,13.41963485
6/1/80,Motor vehicle services,3.514211886
6/1/80,Public transportation,16.21431089
6/1/80,Membership clubs,8.464295561
6/1/80,Audio-visual services,10.50380724
6/1/80,Gambling,12.41295265
6/1/80,Other recreational services,10.42390549
6/1/80,Food services,10.28862513
6/1/80,Accommodations,7.906470908
6/1/80,Financial services,5.26364606
6/1/80,Insurance,-0.421740985
6/1/80,Communication services,4.829329087
6/1/80,Education services,10.33333333
6/1/80,Professional and other services,14.1386604
6/1/80,Personal care services,6.852017937
6/1/80,Social services,17.47953615
6/1/80,Household maintenance,7.446808511
6/1/80,Nonprofit Institution,13.73403804
6/1/80,Overall Average,9.44303383
9/1/80,Motor vehicles (New),-12.79183582
9/1/80,Motor vehicles (Used),-8.220135062
9/1/80,Motor vehicle (Parts),8.35090679
9/1/80,Furniture and furnishings,-1.42328571
