"Date","variable","value"
1959,"Motor vehicles (New)",1
1960,"Motor vehicles (New)",1.061936834
1961,"Motor vehicles (New)",0.913875686
1962,"Motor vehicles (New)",1.142151915
1963,"Motor vehicles (New)",1.313005817
1964,"Motor vehicles (New)",1.394578921
1965,"Motor vehicles (New)",1.630783065
1966,"Motor vehicles (New)",1.618340643
1967,"Motor vehicles (New)",1.547484906
1968,"Motor vehicles (New)",1.907837992
1969,"Motor vehicles (New)",1.97038043
1970,"Motor vehicles (New)",1.720504303
1971,"Motor vehicles (New)",2.241471069
1972,"Motor vehicles (New)",2.581747445
1973,"Motor vehicles (New)",2.841570168
1974,"Motor vehicles (New)",2.326329119
1975,"Motor vehicles (New)",2.537538309
1976,"Motor vehicles (New)",3.423611239
1977,"Motor vehicles (New)",4.100328495
1978,"Motor vehicles (New)",4.605090749
1979,"Motor vehicles (New)",4.507625112
1980,"Motor vehicles (New)",3.988273293
1981,"Motor vehicles (New)",4.341377475
1982,"Motor vehicles (New)",4.718430567
1983,"Motor vehicles (New)",6.08296783
1984,"Motor vehicles (New)",7.31614395
1985,"Motor vehicles (New)",8.649501753
1986,"Motor vehicles (New)",9.839918519
1987,"Motor vehicles (New)",9.45401993
1988,"Motor vehicles (New)",10.14628104
1989,"Motor vehicles (New)",10.22583546
1990,"Motor vehicles (New)",9.885228753
1991,"Motor vehicles (New)",8.287845699
1992,"Motor vehicles (New)",9.299884385
1993,"Motor vehicles (New)",10.19588556
1994,"Motor vehicles (New)",11.09909893
1995,"Motor vehicles (New)",10.82384247
1996,"Motor vehicles (New)",11.229047
1997,"Motor vehicles (New)",11.90717733
1998,"Motor vehicles (New)",13.16723863
1999,"Motor vehicles (New)",14.68559946
2000,"Motor vehicles (New)",15.46737993
2001,"Motor vehicles (New)",16.88484337
2002,"Motor vehicles (New)",17.87825512
2003,"Motor vehicles (New)",18.46961884
2004,"Motor vehicles (New)",18.53010589
2005,"Motor vehicles (New)",18.27048503
2006,"Motor vehicles (New)",17.10715531
2007,"Motor vehicles (New)",17.114863
2008,"Motor vehicles (New)",13.5962269
2009,"Motor vehicles (New)",12.15782423
2010,"Motor vehicles (New)",13.38121892
2011,"Motor vehicles (New)",15.25802426
2012,"Motor vehicles (New)",17.3943587
2013,"Motor vehicles (New)",18.33425703
2014,"Motor vehicles (New)",19.40968233
2015,"Motor vehicles (New)",20.32902681
2016,"Motor vehicles (New)",20.18823292
2017,"Motor vehicles (New)",20.70679562
2018,"Motor vehicles (New)",21.09249234
2019,"Motor vehicles (New)",20.91213228
2020,"Motor vehicles (New)",19.60690756
1959,"Motor vehicles (Used)",1
1960,"Motor vehicles (Used)",0.94430971
1961,"Motor vehicles (Used)",0.971346447
1962,"Motor vehicles (Used)",1.078595168
1963,"Motor vehicles (Used)",1.202730621
1964,"Motor vehicles (Used)",1.281595257
1965,"Motor vehicles (Used)",1.429623641
1966,"Motor vehicles (Used)",1.478846672
1967,"Motor vehicles (Used)",1.623731249
1968,"Motor vehicles (Used)",1.728464924
1969,"Motor vehicles (Used)",1.869397287
1970,"Motor vehicles (Used)",1.80113177
1971,"Motor vehicles (Used)",1.998383185
1972,"Motor vehicles (Used)",2.224108506
1973,"Motor vehicles (Used)",2.425222312
1974,"Motor vehicles (Used)",2.50354801
